City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Francisco,West,3/1/1929,0:00,5.825,4.775,4.263,2.295,2.334,0.415,-0.655,-1.577,0
San Francisco,West,4/1/1929,0:00,5.625,4.785,4.375,2.363,2.442,0.513,-0.668,-1.475,0
San Francisco,West,5/1/1929,0:00,6.025,4.932,4.375,2.383,2.442,0.523,-0.806,-2.177,0
San Francisco,West,6/1/1929,0:00,6.622,5.395,4.634,2.573,2.662,0.694,-0.707,-2.177,0
San Francisco,West,7/1/1929,0:00,7.022,5.644,4.785,2.754,2.803,0.835,-0.527,-1.875,0
San Francisco,West,8/1/1929,0:00,6.323,5.464,4.732,2.662,2.724,0.723,-0.616,-2.177,0
San Francisco,West,9/1/1929,0:00,6.123,5.415,4.923,2.842,2.895,0.864,-0.235,-1.777,0
San Francisco,West,10/1/1929,0:00,5.923,5.103,4.742,2.652,2.705,0.674,-0.386,-1.075,0
San Francisco,West,11/1/1929,0:00,6.225,5.244,4.683,2.593,2.662,0.654,-0.727,-1.977,0
San Francisco,West,12/1/1929,0:00,6.524,5.342,4.614,2.534,2.633,0.654,-0.937,-2.676,0
San Francisco,West,1/1/1930,0:00,7.022,5.595,4.844,2.823,2.895,0.943,-0.497,-1.977,0
San Francisco,West,2/1/1930,0:00,6.323,5.385,4.732,2.734,2.774,0.825,-0.376,-2.177,0
San Francisco,West,3/1/1930,0:00,6.524,5.162,4.722,2.793,2.823,0.933,0.005,-1.577,0
San Francisco,West,4/1/1930,0:00,6.025,5.024,4.532,2.554,2.613,0.703,-0.445,-1.177,0
San Francisco,West,5/1/1930,0:00,6.225,5.205,4.532,2.495,2.583,0.634,-0.806,-1.875,0
San Francisco,West,6/1/1930,0:00,6.225,5.454,4.673,2.613,2.685,0.703,-0.796,-2.377,0
San Francisco,West,7/1/1930,0:00,6.622,5.582,4.804,2.724,2.774,0.753,-0.616,-2.075,0
San Francisco,West,8/1/1930,0:00,6.425,5.562,4.834,2.803,2.852,0.884,-0.386,-1.577,0
San Francisco,West,9/1/1930,0:00,6.025,5.444,4.975,2.934,2.993,1.025,-0.127,-0.976,0
San Francisco,West,10/1/1930,0:00,5.923,5.264,4.873,2.872,2.925,0.982,-0.235,-1.177,0
San Francisco,West,11/1/1930,0:00,6.323,5.454,4.863,2.842,2.905,0.953,-0.396,-1.777,0
San Francisco,West,12/1/1930,0:00,6.524,5.582,4.834,2.774,2.852,0.884,-0.497,-1.675,0
San Francisco,West,1/1/1931,0:00,6.622,5.582,4.814,2.764,2.842,0.874,-0.576,-1.875,0
San Francisco,West,2/1/1931,0:00,6.822,5.552,4.883,2.852,2.905,0.923,-0.235,-1.675,0
San Francisco,West,3/1/1931,0:00,5.825,4.995,4.483,2.413,2.485,0.493,-0.668,-1.977,0
San Francisco,West,4/1/1931,0:00,5.723,5.014,4.555,2.495,2.544,0.533,-0.566,-1.377,0
San Francisco,West,5/1/1931,0:00,6.225,5.405,4.703,2.613,2.695,0.684,-0.698,-1.777,0
San Francisco,West,6/1/1931,0:00,6.225,5.474,4.683,2.613,2.715,0.743,-0.825,-2.075,0
San Francisco,West,7/1/1931,0:00,6.323,5.625,4.804,2.744,2.833,0.864,-0.635,-1.875,0
San Francisco,West,8/1/1931,0:00,6.323,5.395,4.732,2.724,2.774,0.815,-0.406,-1.577,0
San Francisco,West,9/1/1931,0:00,5.923,5.224,4.693,2.724,2.754,0.815,-0.245,-1.377,0
San Francisco,West,10/1/1931,0:00,6.123,5.103,4.624,2.623,2.675,0.723,-0.547,-1.377,0
San Francisco,West,11/1/1931,0:00,6.425,5.195,4.614,2.544,2.623,0.644,-0.865,-1.977,0
San Francisco,West,12/1/1931,0:00,6.524,5.454,4.742,2.675,2.754,0.762,-0.688,-2.075,0
San Francisco,West,1/1/1932,0:00,6.123,5.464,4.624,2.593,2.633,0.654,-0.625,-2.075,0
San Francisco,West,2/1/1932,0:00,6.323,5.444,4.765,2.764,2.823,0.884,-0.317,-1.577,0
San Francisco,West,3/1/1932,0:00,5.523,4.952,4.434,2.442,2.504,0.562,-0.596,-1.475,0
San Francisco,West,4/1/1932,0:00,6.323,5.034,4.575,2.564,2.613,0.664,-0.517,-1.875,0
San Francisco,West,5/1/1932,0:00,6.724,5.323,4.663,2.695,2.764,0.874,-0.406,-2.177,0
San Francisco,West,6/1/1932,0:00,6.425,5.444,4.654,2.662,2.754,0.864,-0.645,-2.476,0
San Francisco,West,7/1/1932,0:00,6.425,5.582,4.795,2.783,2.862,0.943,-0.556,-1.875,0
San Francisco,West,8/1/1932,0:00,6.323,5.654,4.952,2.905,2.964,0.982,-0.258,-1.177,0
San Francisco,West,9/1/1932,0:00,6.123,5.543,5.073,3.052,3.095,1.113,0.103,-0.878,0
San Francisco,West,10/1/1932,0:00,6.425,5.313,4.834,2.754,2.823,0.805,-0.406,-1.777,0
San Francisco,West,11/1/1932,0:00,6.924,5.293,4.683,2.583,2.675,0.664,-0.845,-1.977,0
San Francisco,West,12/1/1932,0:00,6.323,5.444,4.693,2.583,2.675,0.654,-0.845,-2.876,0
San Francisco,West,1/1/1933,0:00,6.822,5.405,4.634,2.593,2.642,0.664,-0.616,-1.977,0
San Francisco,West,2/1/1933,0:00,5.625,5.014,4.332,2.304,2.344,0.362,-0.766,-1.977,0
San Francisco,West,3/1/1933,0:00,6.225,5.005,4.453,2.465,2.534,0.615,-0.468,-1.275,0
San Francisco,West,4/1/1933,0:00,5.923,4.932,4.444,2.452,2.534,0.634,-0.616,-1.675,0
San Francisco,West,5/1/1933,0:00,6.225,4.913,4.293,2.295,2.373,0.454,-0.967,-2.377,0
San Francisco,West,6/1/1933,0:00,6.524,5.342,4.542,2.544,2.603,0.664,-0.737,-2.476,0
San Francisco,West,7/1/1933,0:00,6.822,5.664,4.785,2.754,2.813,0.844,-0.478,-2.177,0
San Francisco,West,8/1/1933,0:00,6.425,5.533,4.775,2.734,2.783,0.792,-0.507,-1.875,0
San Francisco,West,9/1/1933,0:00,6.025,5.274,4.765,2.705,2.754,0.743,-0.346,-1.177,0
San Francisco,West,10/1/1933,0:00,6.225,5.054,4.624,2.554,2.603,0.582,-0.517,-1.777,0
San Francisco,West,11/1/1933,0:00,6.323,5.185,4.575,2.485,2.564,0.552,-0.898,-2.377,0
San Francisco,West,12/1/1933,0:00,6.724,5.493,4.722,2.662,2.724,0.723,-0.845,-2.876,0
San Francisco,West,1/1/1934,0:00,6.524,5.362,4.604,2.564,2.642,0.684,-0.707,-2.377,0
San Francisco,West,2/1/1934,0:00,6.123,5.362,4.713,2.734,2.783,0.844,-0.278,-1.977,0
San Francisco,West,3/1/1934,0:00,5.625,5.054,4.585,2.613,2.642,0.694,-0.245,-1.177,0
San Francisco,West,4/1/1934,0:00,5.723,5.044,4.493,2.485,2.544,0.605,-0.566,-1.475,0
San Francisco,West,5/1/1934,0:00,6.425,5.372,4.624,2.573,2.652,0.684,-0.747,-1.977,0
San Francisco,West,6/1/1934,0:00,6.425,5.513,4.703,2.633,2.695,0.684,-0.757,-2.476,0
San Francisco,West,7/1/1934,0:00,6.425,5.543,4.755,2.675,2.724,0.684,-0.527,-2.276,0
San Francisco,West,8/1/1934,0:00,6.225,5.444,4.713,2.724,2.744,0.772,-0.376,-1.377,0
San Francisco,West,9/1/1934,0:00,5.923,5.372,4.873,2.872,2.925,0.982,-0.127,-0.678,0
San Francisco,West,10/1/1934,0:00,5.723,5.054,4.654,2.652,2.705,0.753,-0.415,-1.675,0
San Francisco,West,11/1/1934,0:00,6.425,5.342,4.742,2.705,2.764,0.782,-0.547,-1.475,0
San Francisco,West,12/1/1934,0:00,6.622,5.464,4.703,2.662,2.724,0.743,-0.625,-1.777,0
San Francisco,West,1/1/1935,0:00,7.423,5.654,4.863,2.852,2.925,0.972,-0.356,-1.777,0
San Francisco,West,2/1/1935,0:00,6.425,5.313,4.663,2.685,2.715,0.762,-0.307,-1.875,0
San Francisco,West,3/1/1935,0:00,6.323,5.175,4.663,2.652,2.705,0.733,-0.297,-1.075,0
San Francisco,West,4/1/1935,0:00,6.225,5.185,4.693,2.715,2.774,0.854,-0.146,-1.177,0
San Francisco,West,5/1/1935,0:00,6.025,5.395,4.663,2.652,2.724,0.792,-0.527,-1.675,0
San Francisco,West,6/1/1935,0:00,6.225,5.523,4.713,2.705,2.803,0.884,-0.547,-1.777,0
San Francisco,West,7/1/1935,0:00,6.425,5.625,4.804,2.764,2.833,0.864,-0.478,-1.577,0
San Francisco,West,8/1/1935,0:00,6.425,5.605,4.965,2.905,2.974,0.982,-0.058,-1.177,0
San Francisco,West,9/1/1935,0:00,5.923,5.333,4.844,2.793,2.852,0.864,-0.025,-1.075,0
San Francisco,West,10/1/1935,0:00,6.524,5.313,4.834,2.783,2.842,0.844,-0.307,-1.177,0
San Francisco,West,11/1/1935,0:00,6.323,5.274,4.673,2.583,2.662,0.644,-0.766,-1.977,0
San Francisco,West,12/1/1935,0:00,6.524,5.605,4.903,2.793,2.862,0.815,-0.556,-1.875,0
San Francisco,West,1/1/1936,0:00,6.123,5.464,4.663,2.623,2.685,0.703,-0.497,-1.875,0
San Francisco,West,2/1/1936,0:00,6.323,5.634,4.975,3.013,3.043,1.123,0.113,-1.075,0
San Francisco,West,3/1/1936,0:00,5.723,5.073,4.604,2.642,2.705,0.792,-0.166,-1.577,0
San Francisco,West,4/1/1936,0:00,6.425,4.883,4.434,2.423,2.485,0.533,-0.517,-1.475,0
San Francisco,West,5/1/1936,0:00,6.123,5.293,4.634,2.633,2.695,0.753,-0.425,-2.177,0
San Francisco,West,6/1/1936,0:00,6.123,5.425,4.634,2.642,2.734,0.835,-0.537,-1.977,0
San Francisco,West,7/1/1936,0:00,6.323,5.595,4.785,2.754,2.833,0.884,-0.468,-1.577,0
San Francisco,West,8/1/1936,0:00,6.225,5.605,4.942,2.872,2.915,0.884,-0.176,-1.177,0
San Francisco,West,9/1/1936,0:00,6.025,5.405,4.995,2.915,2.954,0.913,0.083,-0.478,0
San Francisco,West,10/1/1936,0:00,6.822,5.454,4.995,2.862,2.905,0.815,-0.235,-1.577,0
San Francisco,West,11/1/1936,0:00,6.822,5.484,4.883,2.744,2.823,0.753,-0.606,-1.977,0
San Francisco,West,12/1/1936,0:00,7.324,5.634,4.923,2.764,2.833,0.743,-0.625,-1.675,0
San Francisco,West,1/1/1937,0:00,6.225,5.395,4.673,2.583,2.652,0.625,-0.478,-1.977,0
San Francisco,West,2/1/1937,0:00,6.425,5.523,4.883,2.852,2.872,0.864,-0.035,-1.177,0
San Francisco,West,3/1/1937,0:00,6.425,5.205,4.722,2.803,2.833,0.933,0.064,-0.576,0
San Francisco,West,4/1/1937,0:00,5.923,4.844,4.355,2.393,2.475,0.582,-0.458,-1.475,0
San Francisco,West,5/1/1937,0:00,6.123,5.205,4.614,2.633,2.715,0.805,-0.435,-2.276,0
San Francisco,West,6/1/1937,0:00,6.524,5.415,4.683,2.675,2.724,0.762,-0.445,-1.875,0
San Francisco,West,7/1/1937,0:00,6.924,5.733,4.932,2.885,2.934,0.923,-0.258,-1.475,0
San Francisco,West,8/1/1937,0:00,6.225,5.572,4.893,2.823,2.862,0.835,-0.205,-1.377,0
San Francisco,West,9/1/1937,0:00,6.025,5.303,4.873,2.823,2.852,0.835,-0.035,-0.576,0
San Francisco,West,10/1/1937,0:00,6.425,5.234,4.854,2.774,2.813,0.772,-0.137,-1.075,0
San Francisco,West,11/1/1937,0:00,6.622,5.415,4.854,2.764,2.833,0.805,-0.415,-1.875,0
San Francisco,West,12/1/1937,0:00,6.822,5.762,5.073,3.033,3.115,1.153,-0.146,-1.675,0
San Francisco,West,1/1/1938,0:00,7.022,5.543,4.863,2.823,2.872,0.874,-0.307,-1.675,0
San Francisco,West,2/1/1938,0:00,7.022,5.572,5.005,3.164,3.223,1.445,0.615,-0.576,0
San Francisco,West,3/1/1938,0:00,6.622,5.185,4.795,2.915,2.964,1.133,0.405,-0.478,0
San Francisco,West,4/1/1938,0:00,6.025,4.995,4.503,2.583,2.633,0.772,-0.176,-0.878,0
San Francisco,West,5/1/1938,0:00,6.225,5.264,4.614,2.642,2.715,0.825,-0.386,-1.875,0
San Francisco,West,6/1/1938,0:00,6.822,5.634,4.883,2.833,2.934,0.972,-0.268,-1.577,0
San Francisco,West,7/1/1938,0:00,6.822,5.654,4.952,2.852,2.895,0.835,-0.317,-1.475,0
San Francisco,West,8/1/1938,0:00,6.225,5.484,4.844,2.783,2.823,0.805,-0.077,-1.177,0
San Francisco,West,9/1/1938,0:00,5.625,5.224,4.795,2.754,2.793,0.805,-0.035,-0.678,0
San Francisco,West,10/1/1938,0:00,5.825,5.054,4.732,2.724,2.764,0.792,-0.166,-0.776,0
San Francisco,West,11/1/1938,0:00,5.923,5.123,4.585,2.534,2.593,0.605,-0.547,-1.577,0
San Francisco,West,12/1/1938,0:00,6.323,5.474,4.765,2.695,2.744,0.723,-0.468,-1.875,0
San Francisco,West,1/1/1939,0:00,7.222,5.405,4.683,2.593,2.642,0.615,-0.478,-1.875,0
San Francisco,West,2/1/1939,0:00,6.425,4.903,4.312,2.232,2.265,0.215,-0.668,-1.777,0
San Francisco,West,3/1/1939,0:00,5.625,4.765,4.355,2.285,2.314,0.274,-0.566,-1.577,0
San Francisco,West,4/1/1939,0:00,5.523,4.844,4.424,2.354,2.383,0.352,-0.517,-1.177,0
San Francisco,West,5/1/1939,0:00,6.025,5.185,4.542,2.432,2.485,0.415,-0.678,-1.577,0
San Francisco,West,6/1/1939,0:00,5.923,5.352,4.614,2.505,2.564,0.513,-0.678,-2.075,0
San Francisco,West,7/1/1939,0:00,6.123,5.415,4.683,2.613,2.633,0.582,-0.517,-1.777,0
San Francisco,West,8/1/1939,0:00,6.323,5.454,4.863,2.823,2.833,0.805,-0.107,-1.275,0
San Francisco,West,9/1/1939,0:00,6.225,5.474,5.064,3.043,3.043,1.025,0.342,-0.478,0
San Francisco,West,10/1/1939,0:00,6.123,5.303,4.923,2.842,2.885,0.835,-0.087,-0.776,0
San Francisco,West,11/1/1939,0:00,6.524,5.582,5.064,2.964,2.964,0.854,-0.278,-1.177,0
San Francisco,West,12/1/1939,0:00,7.423,5.572,4.932,2.783,2.823,0.703,-0.517,-1.577,0
San Francisco,West,1/1/1940,0:00,6.924,5.815,5.123,3.072,3.105,1.074,0.093,-1.075,0
San Francisco,West,2/1/1940,0:00,7.022,5.654,5.064,3.052,3.082,1.104,0.254,-0.878,0
San Francisco,West,3/1/1940,0:00,6.123,5.254,4.844,2.925,2.954,1.064,0.323,-0.776,0
San Francisco,West,4/1/1940,0:00,6.025,4.903,4.542,2.633,2.685,0.835,-0.025,-1.377,0
San Francisco,West,5/1/1940,0:00,6.524,5.162,4.594,2.603,2.642,0.694,-0.278,-1.377,0
San Francisco,West,6/1/1940,0:00,6.225,5.454,4.755,2.734,2.744,0.733,-0.366,-1.475,0
San Francisco,West,7/1/1940,0:00,6.225,5.552,4.814,2.744,2.774,0.733,-0.297,-1.275,0
San Francisco,West,8/1/1940,0:00,6.025,5.552,4.952,2.852,2.885,0.805,-0.127,-1.177,0
San Francisco,West,9/1/1940,0:00,5.923,5.444,5.093,2.984,3.023,0.943,0.254,-0.776,0
San Francisco,West,10/1/1940,0:00,6.123,5.333,5.005,2.842,2.885,0.762,-0.087,-1.577,0
San Francisco,West,11/1/1940,0:00,6.724,5.503,4.985,2.823,2.885,0.772,-0.356,-1.475,0
San Francisco,West,12/1/1940,0:00,7.823,6.192,5.562,3.413,3.463,1.363,0.185,-1.475,0
San Francisco,West,1/1/1941,0:00,6.924,6.015,5.405,3.423,3.482,1.563,0.605,-0.678,0
San Francisco,West,2/1/1941,0:00,7.623,6.094,5.543,3.633,3.663,1.783,0.982,-0.478,0
San Francisco,West,3/1/1941,0:00,6.622,5.805,5.395,3.463,3.525,1.645,0.982,-0.176,0
San Francisco,West,4/1/1941,0:00,6.425,5.313,4.893,2.944,3.013,1.133,0.283,-0.878,0
San Francisco,West,5/1/1941,0:00,7.022,5.323,4.785,2.783,2.852,0.923,-0.137,-1.075,0
San Francisco,West,6/1/1941,0:00,6.123,5.323,4.663,2.652,2.685,0.694,-0.415,-1.977,0
San Francisco,West,7/1/1941,0:00,6.524,5.743,5.024,2.954,2.974,0.923,-0.035,-1.475,0
San Francisco,West,8/1/1941,0:00,6.225,5.562,4.932,2.862,2.885,0.844,-0.077,-1.177,0
San Francisco,West,9/1/1941,0:00,5.923,5.523,5.142,3.052,3.082,1.025,0.254,-0.576,0
San Francisco,West,10/1/1941,0:00,6.425,5.415,5.113,3.003,3.043,0.963,0.175,-0.878,0
San Francisco,West,11/1/1941,0:00,6.822,5.634,5.152,3.052,3.105,1.045,0.005,-1.675,0
San Francisco,West,12/1/1941,0:00,7.623,6.035,5.385,3.282,3.344,1.294,0.113,-1.577,0
San Francisco,West,1/1/1942,0:00,6.724,5.762,5.083,3.082,3.134,1.182,0.073,-1.577,0
San Francisco,West,2/1/1942,0:00,6.323,5.582,5.034,3.194,3.233,1.435,0.605,-0.878,0
San Francisco,West,3/1/1942,0:00,6.724,5.024,4.673,2.652,2.675,0.674,-0.058,-0.776,0
San Francisco,West,4/1/1942,0:00,6.323,5.283,4.923,2.895,2.944,0.953,0.205,-0.576,0
San Francisco,West,5/1/1942,0:00,6.123,5.162,4.585,2.544,2.583,0.572,-0.517,-1.977,0
San Francisco,West,6/1/1942,0:00,6.524,5.362,4.673,2.583,2.662,0.644,-0.566,-1.875,0
San Francisco,West,7/1/1942,0:00,6.724,5.595,4.923,2.793,2.833,0.743,-0.366,-1.577,0
San Francisco,West,8/1/1942,0:00,6.323,5.493,4.893,2.783,2.823,0.762,-0.107,-1.075,0
San Francisco,West,9/1/1942,0:00,5.825,5.323,4.913,2.872,2.895,0.874,0.113,-0.776,0
San Francisco,West,10/1/1942,0:00,5.723,5.054,4.775,2.764,2.803,0.835,-0.087,-0.776,0
San Francisco,West,11/1/1942,0:00,6.025,5.195,4.732,2.675,2.705,0.674,-0.445,-1.475,0
San Francisco,West,12/1/1942,0:00,6.425,5.283,4.644,2.583,2.623,0.595,-0.586,-2.177,0
San Francisco,West,1/1/1943,0:00,6.822,5.634,4.913,2.925,2.944,0.982,-0.097,-2.075,0
San Francisco,West,2/1/1943,0:00,6.425,5.434,4.844,2.823,2.862,0.894,-0.035,-1.875,0
San Francisco,West,3/1/1943,0:00,6.425,5.185,4.775,2.803,2.823,0.884,0.083,-0.878,0
San Francisco,West,4/1/1943,0:00,5.825,4.923,4.594,2.593,2.613,0.634,-0.205,-1.177,0
San Francisco,West,5/1/1943,0:00,5.923,5.162,4.624,2.593,2.623,0.634,-0.366,-1.675,0
San Francisco,West,6/1/1943,0:00,6.524,5.493,4.795,2.754,2.813,0.835,-0.356,-1.875,0
San Francisco,West,7/1/1943,0:00,6.724,5.615,4.903,2.813,2.872,0.844,-0.327,-1.675,0
San Francisco,West,8/1/1943,0:00,6.524,5.425,4.824,2.783,2.803,0.782,-0.235,-1.475,0
San Francisco,West,9/1/1943,0:00,5.923,5.342,4.975,2.944,2.964,0.943,0.205,-1.177,0
San Francisco,West,10/1/1943,0:00,5.825,5.283,4.942,2.872,2.905,0.874,-0.005,-0.776,0
San Francisco,West,11/1/1943,0:00,6.225,5.385,4.873,2.783,2.823,0.782,-0.415,-1.377,0
San Francisco,West,12/1/1943,0:00,6.822,5.605,5.005,2.862,2.905,0.815,-0.527,-1.675,0
