City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Diego,West,12/1/1929,0:00,6.708,5.34,4.399,2.381,2.401,0.409,-0.811,-2.589,0
San Diego,West,1/1/1930,0:00,7.309,5.458,4.481,2.47,2.489,0.501,-0.7,-2.491,0
San Diego,West,2/1/1930,0:00,7.01,5.189,4.409,2.371,2.391,0.37,-0.611,-2.491,0
San Diego,West,3/1/1930,0:00,6.308,5.029,4.481,2.338,2.381,0.281,-0.509,-2.189,0
San Diego,West,4/1/1930,0:00,6.111,5.048,4.379,2.299,2.329,0.268,-0.68,-1.49,0
San Diego,West,5/1/1930,0:00,6.41,5.209,4.31,2.26,2.289,0.281,-0.89,-1.891,0
San Diego,West,6/1/1930,0:00,6.61,5.521,4.491,2.47,2.489,0.501,-0.7,-2.389,0
San Diego,West,7/1/1930,0:00,7.109,5.609,4.651,2.611,2.63,0.609,-0.591,-2.389,0
San Diego,West,8/1/1930,0:00,7.21,5.609,4.789,2.781,2.791,0.78,-0.25,-1.891,0
San Diego,West,9/1/1930,0:00,6.508,5.429,4.769,2.709,2.729,0.691,-0.25,-1.49,0
San Diego,West,10/1/1930,0:00,6.508,5.399,4.838,2.768,2.821,0.8,-0.211,-1.29,0
San Diego,West,11/1/1930,0:00,6.61,5.55,4.829,2.791,2.83,0.819,-0.25,-1.789,0
San Diego,West,12/1/1930,0:00,6.81,5.619,4.681,2.709,2.729,0.77,-0.381,-1.589,0
San Diego,West,1/1/1931,0:00,6.81,5.521,4.55,2.529,2.529,0.501,-0.68,-2.389,0
San Diego,West,2/1/1931,0:00,7.411,5.609,4.74,2.65,2.689,0.629,-0.339,-1.989,0
San Diego,West,3/1/1931,0:00,6.81,5.248,4.599,2.401,2.43,0.258,-0.67,-2.091,0
San Diego,West,4/1/1931,0:00,6.308,5.189,4.579,2.411,2.43,0.291,-0.591,-1.49,0
San Diego,West,5/1/1931,0:00,6.508,5.39,4.461,2.371,2.381,0.301,-0.831,-2.091,0
San Diego,West,6/1/1931,0:00,6.81,5.57,4.51,2.499,2.509,0.511,-0.71,-2.091,0
San Diego,West,7/1/1931,0:00,7.01,5.849,4.838,2.811,2.83,0.809,-0.381,-1.589,0
San Diego,West,8/1/1931,0:00,6.909,5.521,4.789,2.719,2.739,0.691,-0.339,-1.789,0
San Diego,West,9/1/1931,0:00,6.708,5.59,4.901,2.801,2.821,0.75,-0.07,-1.49,0
San Diego,West,10/1/1931,0:00,6.41,5.34,4.691,2.64,2.66,0.619,-0.362,-1.389,0
San Diego,West,11/1/1931,0:00,6.909,5.39,4.619,2.571,2.591,0.56,-0.621,-1.891,0
San Diego,West,12/1/1931,0:00,7.01,5.248,4.35,2.371,2.391,0.429,-0.759,-1.989,0
San Diego,West,1/1/1932,0:00,6.61,5.409,4.409,2.391,2.391,0.38,-0.71,-2.189,0
San Diego,West,2/1/1932,0:00,6.41,5.55,4.671,2.571,2.571,0.478,-0.509,-1.989,0
San Diego,West,3/1/1932,0:00,6.111,5.111,4.441,2.299,2.309,0.189,-0.719,-1.691,0
San Diego,West,4/1/1932,0:00,6.909,5.13,4.491,2.381,2.411,0.33,-0.621,-1.989,0
San Diego,West,5/1/1932,0:00,7.01,5.39,4.52,2.479,2.509,0.501,-0.529,-2.189,0
San Diego,West,6/1/1932,0:00,6.61,5.38,4.35,2.391,2.411,0.458,-0.7,-2.589,0
San Diego,West,7/1/1932,0:00,6.81,5.58,4.589,2.62,2.63,0.659,-0.641,-2.091,0
San Diego,West,8/1/1932,0:00,6.708,5.678,4.848,2.791,2.791,0.741,-0.339,-1.589,0
San Diego,West,9/1/1932,0:00,6.308,5.531,4.93,2.811,2.821,0.721,-0.08,-0.89,0
San Diego,West,10/1/1932,0:00,7.01,5.531,4.829,2.68,2.709,0.58,-0.401,-1.891,0
San Diego,West,11/1/1932,0:00,7.21,5.468,4.638,2.548,2.591,0.55,-0.67,-2.389,0
San Diego,West,12/1/1932,0:00,6.909,5.521,4.559,2.499,2.519,0.478,-0.759,-2.99,0
San Diego,West,1/1/1933,0:00,6.81,5.419,4.5,2.499,2.499,0.501,-0.559,-2.589,0
San Diego,West,2/1/1933,0:00,6.111,5.071,4.31,2.201,2.21,0.111,-0.821,-2.291,0
San Diego,West,3/1/1933,0:00,5.809,4.999,4.32,2.22,2.309,0.291,-0.549,-1.29,0
San Diego,West,4/1/1933,0:00,6.308,4.989,4.281,2.23,2.269,0.248,-0.729,-1.691,0
San Diego,West,5/1/1933,0:00,6.508,4.93,4.09,2.079,2.128,0.16,-0.982,-2.589,0
San Diego,West,6/1/1933,0:00,6.708,5.321,4.35,2.338,2.348,0.36,-0.772,-2.691,0
San Diego,West,7/1/1933,0:00,7.21,5.56,4.54,2.538,2.538,0.54,-0.631,-2.491,0
San Diego,West,8/1/1933,0:00,6.81,5.439,4.589,2.509,2.529,0.468,-0.631,-2.389,0
San Diego,West,9/1/1933,0:00,6.41,5.37,4.71,2.538,2.571,0.419,-0.47,-1.789,0
San Diego,West,10/1/1933,0:00,6.41,5.101,4.52,2.391,2.411,0.301,-0.582,-1.589,0
San Diego,West,11/1/1933,0:00,6.708,5.248,4.409,2.371,2.411,0.399,-0.729,-2.291,0
San Diego,West,12/1/1933,0:00,6.81,5.321,4.32,2.329,2.348,0.37,-0.851,-3.091,0
San Diego,West,1/1/1934,0:00,7.109,5.239,4.33,2.309,2.329,0.34,-0.801,-2.691,0
San Diego,West,2/1/1934,0:00,6.708,5.019,4.228,2.181,2.191,0.16,-0.759,-2.691,0
San Diego,West,3/1/1934,0:00,6.111,5.038,4.461,2.348,2.371,0.268,-0.48,-1.691,0
San Diego,West,4/1/1934,0:00,6.308,5.14,4.409,2.329,2.361,0.311,-0.621,-1.589,0
San Diego,West,5/1/1934,0:00,6.61,5.419,4.481,2.43,2.47,0.449,-0.68,-2.091,0
San Diego,West,6/1/1934,0:00,7.01,5.458,4.441,2.401,2.42,0.399,-0.841,-2.491,0
San Diego,West,7/1/1934,0:00,7.21,5.58,4.671,2.581,2.601,0.531,-0.621,-2.291,0
San Diego,West,8/1/1934,0:00,6.81,5.429,4.599,2.601,2.591,0.57,-0.362,-1.989,0
San Diego,West,9/1/1934,0:00,6.508,5.54,4.881,2.84,2.87,0.849,-0.03,-0.992,0
San Diego,West,10/1/1934,0:00,6.21,5.14,4.569,2.558,2.591,0.609,-0.362,-1.49,0
San Diego,West,11/1/1934,0:00,6.708,5.34,4.589,2.558,2.601,0.609,-0.46,-1.589,0
San Diego,West,12/1/1934,0:00,7.21,5.57,4.609,2.62,2.64,0.67,-0.431,-1.691,0
San Diego,West,1/1/1935,0:00,7.411,5.439,4.5,2.47,2.47,0.429,-0.66,-2.091,0
San Diego,West,2/1/1935,0:00,7.21,5.38,4.569,2.47,2.489,0.419,-0.49,-2.189,0
San Diego,West,3/1/1935,0:00,6.61,5.038,4.428,2.26,2.269,0.101,-0.739,-1.891,0
San Diego,West,4/1/1935,0:00,6.111,5.038,4.399,2.279,2.299,0.199,-0.65,-1.589,0
San Diego,West,5/1/1935,0:00,6.41,5.301,4.369,2.289,2.309,0.248,-0.831,-1.789,0
San Diego,West,6/1/1935,0:00,6.81,5.59,4.579,2.529,2.571,0.55,-0.739,-1.891,0
San Diego,West,7/1/1935,0:00,7.01,5.59,4.628,2.558,2.591,0.54,-0.65,-1.989,0
San Diego,West,8/1/1935,0:00,7.109,5.531,4.829,2.768,2.768,0.711,-0.171,-1.49,0
San Diego,West,9/1/1935,0:00,6.41,5.37,4.75,2.65,2.67,0.58,-0.139,-1.589,0
San Diego,West,10/1/1935,0:00,6.81,5.39,4.75,2.66,2.699,0.649,-0.28,-1.29,0
San Diego,West,11/1/1935,0:00,6.81,5.37,4.559,2.499,2.509,0.468,-0.631,-1.989,0
San Diego,West,12/1/1935,0:00,6.909,5.55,4.681,2.62,2.63,0.59,-0.519,-1.989,0
San Diego,West,1/1/1936,0:00,6.708,5.35,4.399,2.361,2.371,0.34,-0.65,-2.091,0
