City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Charleston,East,5/1/1980,0:00,7.465,5.835,5.477,2.905,2.767,0.057,-0.084,-1.626,0
Charleston,East,6/1/1980,0:00,7.387,5.864,5.435,2.846,2.705,-0.035,-0.186,-1.314,0
Charleston,East,7/1/1980,0:00,6.616,5.605,5.234,2.577,2.456,-0.323,-0.514,-1.484,0
Charleston,East,8/1/1980,0:00,6.776,5.517,5.156,2.475,2.387,-0.386,-0.563,-1.254,0
Charleston,East,9/1/1980,0:00,7.256,5.727,5.467,2.885,2.754,0.044,-0.133,-1.234,0
Charleston,East,10/1/1980,0:00,7.376,5.625,5.366,2.866,2.734,0.106,-0.035,-1.894,0
Charleston,East,11/1/1980,0:00,6.976,5.536,5.234,2.705,2.606,-0.035,-0.225,-1.504,0
Charleston,East,12/1/1980,0:00,6.946,5.467,5.126,2.597,2.485,-0.166,-0.353,-1.624,0
Charleston,East,1/1/1981,0:00,6.284,5.175,4.867,2.324,2.226,-0.425,-0.635,-1.793,0
Charleston,East,2/1/1981,0:00,5.917,5.215,4.926,2.285,2.206,-0.523,-0.704,-1.734,0
Charleston,East,3/1/1981,0:00,6.294,5.205,4.926,2.406,2.275,-0.363,-0.573,-1.475,0
Charleston,East,4/1/1981,0:00,6.366,5.277,5.005,2.396,2.275,-0.455,-0.625,-2.105,0
Charleston,East,5/1/1981,0:00,7.367,5.776,5.385,2.787,2.646,-0.094,-0.225,-1.324,0
Charleston,East,6/1/1981,0:00,6.694,5.454,5.024,2.377,2.236,-0.553,-0.743,-1.823,0
Charleston,East,7/1/1981,0:00,6.845,5.766,5.356,2.725,2.587,-0.186,-0.386,-1.534,0
Charleston,East,8/1/1981,0:00,6.576,5.746,5.435,2.866,2.734,0.034,-0.143,-0.855,0
Charleston,East,9/1/1981,0:00,6.366,5.746,5.477,2.987,2.846,0.215,0.077,-1.016,0
Charleston,East,10/1/1981,0:00,7.065,5.576,5.307,2.846,2.744,0.185,0.034,-0.884,0
Charleston,East,11/1/1981,0:00,7.895,5.897,5.536,3.056,2.925,0.316,0.156,-1.075,0
Charleston,East,12/1/1981,0:00,6.947,5.405,4.985,2.426,2.334,-0.304,-0.504,-1.744,0
