City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Francisco,West,5/1/1988,0:00,6.392,5.562,4.854,2.715,2.813,0.772,-0.678,-1.606,0
San Francisco,West,6/1/1988,0:00,6.563,5.625,4.795,2.633,2.744,0.694,-0.855,-2.128,0
San Francisco,West,7/1/1988,0:00,6.845,5.923,5.103,2.915,3.003,0.904,-0.537,-1.875,0
San Francisco,West,8/1/1988,0:00,6.563,5.825,5.175,2.993,3.062,0.963,-0.107,-1.318,0
San Francisco,West,9/1/1988,0:00,6.264,5.713,5.152,3.052,3.105,1.045,-0.015,-0.927,0
San Francisco,West,10/1/1988,0:00,6.793,5.572,5.113,3.013,3.095,1.064,-0.166,-1.216,0
San Francisco,West,11/1/1988,0:00,7.032,5.552,4.932,2.803,2.895,0.864,-0.537,-1.656,0
San Francisco,West,12/1/1988,0:00,7.042,5.703,4.893,2.783,2.885,0.864,-0.556,-1.757,0
San Francisco,West,1/1/1989,0:00,6.573,5.582,4.732,2.633,2.705,0.674,-0.668,-2.285,0
San Francisco,West,2/1/1989,0:00,6.484,5.543,4.824,2.685,2.764,0.703,-0.537,-1.875,0
San Francisco,West,3/1/1989,0:00,6.665,5.513,4.965,2.885,2.944,0.923,-0.186,-1.508,0
San Francisco,West,4/1/1989,0:00,6.675,5.395,4.942,2.823,2.905,0.854,-0.396,-1.147,0
San Francisco,West,5/1/1989,0:00,6.894,5.664,4.965,2.813,2.895,0.835,-0.507,-1.587,0
San Francisco,West,6/1/1989,0:00,7.075,5.953,5.123,2.974,3.062,1.005,-0.527,-1.747,0
San Francisco,West,7/1/1989,0:00,6.704,5.992,5.175,3.033,3.115,1.054,-0.415,-1.708,0
San Francisco,West,8/1/1989,0:00,6.704,5.972,5.323,3.233,3.272,1.235,0.064,-1.137,0
San Francisco,West,9/1/1989,0:00,6.832,5.835,5.342,3.262,3.315,1.284,0.342,-0.396,0
San Francisco,West,10/1/1989,0:00,6.822,5.694,5.175,3.072,3.154,1.133,-0.015,-1.347,0
San Francisco,West,11/1/1989,0:00,7.104,5.874,5.205,3.072,3.164,1.123,-0.287,-1.856,0
San Francisco,West,12/1/1989,0:00,7.255,6.094,5.313,3.174,3.272,1.235,-0.287,-1.767,0
San Francisco,West,1/1/1990,0:00,7.173,5.992,5.205,3.062,3.125,1.045,-0.258,-1.816,0
San Francisco,West,2/1/1990,0:00,6.255,5.713,5.005,2.885,2.944,0.874,-0.196,-1.747,0
San Francisco,West,3/1/1990,0:00,6.484,5.484,4.903,2.783,2.842,0.792,-0.307,-0.967,0
San Francisco,West,4/1/1990,0:00,6.665,5.572,5.083,2.944,3.023,0.972,-0.278,-1.905,0
San Francisco,West,5/1/1990,0:00,6.865,5.674,5.073,2.925,2.993,0.913,-0.435,-2.148,0
San Francisco,West,6/1/1990,0:00,7.373,5.874,5.073,2.934,3.013,0.953,-0.435,-1.846,0
San Francisco,West,7/1/1990,0:00,7.094,6.064,5.254,3.174,3.243,1.235,-0.077,-1.396,0
San Francisco,West,8/1/1990,0:00,6.602,6.005,5.323,3.262,3.335,1.343,0.205,-0.957,0
San Francisco,West,9/1/1990,0:00,6.474,5.864,5.362,3.282,3.354,1.333,0.333,-0.435,0
San Francisco,West,10/1/1990,0:00,6.894,5.703,5.254,3.125,3.194,1.133,0.113,-0.698,0
San Francisco,West,11/1/1990,0:00,6.845,5.805,5.133,2.964,3.043,0.943,-0.396,-1.738,0
San Francisco,West,12/1/1990,0:00,6.904,6.005,5.175,2.944,3.033,0.904,-0.616,-2.315,0
San Francisco,West,1/1/1991,0:00,6.963,5.933,5.113,2.905,2.974,0.835,-0.517,-2.066,0
San Francisco,West,2/1/1991,0:00,6.914,5.854,5.152,3.062,3.115,1.064,0.024,-1.075,0
San Francisco,West,3/1/1991,0:00,6.714,5.713,5.215,3.072,3.134,1.054,0.162,-0.507,0
San Francisco,West,4/1/1991,0:00,6.225,5.195,4.654,2.544,2.613,0.582,-0.566,-1.475,0
San Francisco,West,5/1/1991,0:00,6.412,5.342,4.683,2.583,2.662,0.644,-0.747,-2.105,0
San Francisco,West,6/1/1991,0:00,7.134,5.844,5.073,2.925,3.013,0.963,-0.468,-2.007,0
San Francisco,West,7/1/1991,0:00,7.085,5.992,5.244,3.115,3.174,1.113,-0.127,-1.816,0
San Francisco,West,8/1/1991,0:00,7.022,5.953,5.234,3.125,3.164,1.094,0.103,-1.236,0
San Francisco,West,9/1/1991,0:00,6.514,5.923,5.362,3.243,3.292,1.225,0.224,-0.678,0
San Francisco,West,10/1/1991,0:00,6.845,5.844,5.395,3.272,3.335,1.284,0.142,-1.045,0
San Francisco,West,11/1/1991,0:00,6.832,5.844,5.185,3.013,3.082,0.982,-0.225,-1.708,0
San Francisco,West,12/1/1991,0:00,7.075,6.202,5.372,3.203,3.262,1.153,-0.205,-1.938,0
San Francisco,West,1/1/1992,0:00,7.285,6.225,5.425,3.243,3.325,1.225,-0.058,-1.557,0
San Francisco,West,2/1/1992,0:00,7.465,6.455,5.782,3.663,3.725,1.675,0.674,-0.816,0
San Francisco,West,3/1/1992,0:00,7.065,6.143,5.694,3.594,3.643,1.583,0.713,-0.215,0
San Francisco,West,4/1/1992,0:00,6.474,5.694,5.195,3.095,3.144,1.094,0.103,-1.088,0
San Francisco,West,5/1/1992,0:00,6.973,5.972,5.283,3.134,3.203,1.123,-0.146,-1.055,0
San Francisco,West,6/1/1992,0:00,7.114,6.084,5.293,3.134,3.203,1.113,-0.268,-1.406,0
San Francisco,West,7/1/1992,0:00,7.012,6.192,5.405,3.213,3.272,1.133,-0.097,-1.485,0
San Francisco,West,8/1/1992,0:00,6.635,6.035,5.425,3.272,3.292,1.163,0.293,-0.806,0
San Francisco,West,9/1/1992,0:00,6.533,5.854,5.352,3.233,3.272,1.192,0.333,-0.425,0
San Francisco,West,10/1/1992,0:00,6.983,5.894,5.464,3.344,3.404,1.343,0.283,-0.786,0
San Francisco,West,11/1/1992,0:00,7.032,5.884,5.303,3.164,3.233,1.163,-0.058,-1.117,0
San Francisco,West,12/1/1992,0:00,7.344,6.163,5.395,3.282,3.344,1.304,0.083,-1.465,0
San Francisco,West,1/1/1993,0:00,7.793,6.425,5.634,3.584,3.653,1.675,0.562,-0.757,0
San Francisco,West,2/1/1993,0:00,7.485,6.363,5.723,3.613,3.663,1.592,0.684,-0.655,0
San Francisco,West,3/1/1993,0:00,6.592,5.782,5.313,3.272,3.305,1.294,0.425,-0.816,0
San Francisco,West,4/1/1993,0:00,6.573,5.474,5.034,2.934,2.993,0.963,-0.117,-0.976,0
San Francisco,West,5/1/1993,0:00,6.665,5.943,5.303,3.154,3.203,1.113,-0.048,-1.777,0
San Francisco,West,6/1/1993,0:00,6.973,6.045,5.283,3.174,3.223,1.173,-0.127,-1.206,0
San Francisco,West,7/1/1993,0:00,6.773,6.202,5.434,3.272,3.335,1.235,-0.005,-1.026,0
San Francisco,West,8/1/1993,0:00,6.474,5.992,5.395,3.253,3.292,1.192,0.224,-0.717,0
San Francisco,West,9/1/1993,0:00,6.612,5.733,5.333,3.233,3.262,1.202,0.454,-0.278,0
San Francisco,West,10/1/1993,0:00,7.104,5.835,5.405,3.262,3.325,1.235,0.264,-0.806,0
San Francisco,West,11/1/1993,0:00,7.114,5.963,5.333,3.174,3.243,1.143,-0.077,-1.738,0
San Francisco,West,12/1/1993,0:00,7.803,6.025,5.264,3.072,3.134,1.005,-0.327,-1.567,0
San Francisco,West,1/1/1994,0:00,6.675,5.894,5.185,3.013,3.052,0.923,-0.205,-1.495,0
San Francisco,West,2/1/1994,0:00,7.255,5.904,5.254,3.134,3.164,1.074,0.195,-0.786,0
San Francisco,West,3/1/1994,0:00,6.323,5.543,5.044,2.895,2.925,0.815,-0.015,-1.177,0
San Francisco,West,4/1/1994,0:00,6.904,5.394,4.944,2.774,2.823,0.704,-0.356,-1.496,0
San Francisco,West,5/1/1994,0:00,6.914,5.564,5.004,2.834,2.884,0.774,-0.436,-1.816,0
San Francisco,West,6/1/1994,0:00,6.834,5.774,5.044,2.894,2.934,0.834,-0.356,-1.876,0
San Francisco,West,7/1/1994,0:00,6.774,5.964,5.214,3.124,3.174,1.124,0.073,-1.236,0
San Francisco,West,8/1/1994,0:00,6.514,5.764,5.134,3.044,3.084,1.033,0.113,-0.706,0
