City,Region,Date,MHW (ft),MSL (ft),MLW (ft)
Boston,East,10/1/1966,9.405,4.884,0.166
Boston,East,11/1/1966,9.474,4.917,0.156
Boston,East,12/1/1966,9.385,4.864,0.176
Boston,East,1/1/1967,9.684,5.005,0.114
Boston,East,2/1/1967,9.395,4.825,0.045
Boston,East,3/1/1967,9.556,4.917,0.065
Boston,East,4/1/1967,9.746,5.206,0.465
Boston,East,5/1/1967,9.874,5.255,0.396
Boston,East,6/1/1967,9.674,5.094,0.284
Boston,East,7/1/1967,9.586,5.094,0.357
Boston,East,8/1/1967,9.484,5.025,0.337
Boston,East,9/1/1967,9.595,5.065,0.324
Boston,East,10/1/1967,9.546,4.956,0.137
Boston,East,11/1/1967,9.536,4.956,0.137
Boston,East,12/1/1967,9.766,5.084,0.225
Boston,East,1/1/1968,9.234,4.694,-0.024
Boston,East,2/1/1968,9.385,4.904,0.206
Boston,East,3/1/1968,9.556,4.956,0.156
Boston,East,4/1/1968,9.385,4.917,0.206
Boston,East,5/1/1968,9.645,5.156,0.435
Boston,East,6/1/1968,9.825,5.274,0.514
Boston,East,7/1/1968,9.595,5.035,0.225
Boston,East,8/1/1968,9.546,5.025,0.245
Boston,East,9/1/1968,9.546,5.025,0.274
Boston,East,10/1/1968,9.454,4.996,0.324
Boston,East,11/1/1968,9.815,5.274,0.504
Boston,East,12/1/1968,9.494,4.966,0.235
Boston,East,1/1/1969,9.185,4.674,-0.034
Boston,East,2/1/1969,9.805,5.255,0.484
Boston,East,3/1/1969,9.664,5.114,0.324
Boston,East,4/1/1969,9.536,4.956,0.127
Boston,East,5/1/1969,9.566,4.937,0.094
Boston,East,6/1/1969,9.746,5.094,0.196
Boston,East,7/1/1969,9.776,5.127,0.215
Boston,East,8/1/1969,9.805,5.156,0.265
Boston,East,9/1/1969,9.776,5.294,0.616
Boston,East,10/1/1969,9.855,5.445,0.865
Boston,East,11/1/1969,9.986,5.566,0.934
Boston,East,12/1/1969,9.776,5.366,0.744
Boston,East,1/1/1970,9.605,5.104,0.406
Boston,East,2/1/1970,9.595,4.966,0.114
Boston,East,3/1/1970,9.526,5.015,0.215
Boston,East,4/1/1970,9.717,5.104,0.265
Boston,East,5/1/1970,9.536,4.927,0.055
Boston,East,6/1/1970,9.674,5.084,0.255
Boston,East,7/1/1970,9.546,5.005,0.274
Boston,East,8/1/1970,9.694,5.147,0.386
Boston,East,9/1/1970,9.605,5.084,0.357
Boston,East,10/1/1970,9.546,5.055,0.347
Boston,East,11/1/1970,9.805,5.314,0.635
Boston,East,12/1/1970,9.894,5.386,0.704
Boston,East,1/1/1971,9.645,5.055,0.294
Boston,East,2/1/1971,9.556,4.986,0.206
Boston,East,3/1/1971,9.805,5.137,0.245
Boston,East,4/1/1971,9.815,5.215,0.396
